District,Sub Group,Male/Female,Value
Taplejung,Literate Population by age 15 - 24 ,Male ,11483
Taplejung,Literate Population by age 15 - 24 ,Female ,13133
Taplejung,Total Population by age 15 - 24 ,Male ,12116
Taplejung,Total Population by age 15 - 24 ,Female ,14176
Panchthar,Literate Population by age 15 - 24 ,Male ,17228
Panchthar,Literate Population by age 15 - 24 ,Female ,21424
Panchthar,Total Population by age 15 - 24 ,Male ,17877
Panchthar,Total Population by age 15 - 24 ,Female ,22519
Ilam,Literate Population by age 15 - 24 ,Male ,27645
Ilam,Literate Population by age 15 - 24 ,Female ,32077
Ilam,Total Population by age 15 - 24 ,Male ,28524
Ilam,Total Population by age 15 - 24 ,Female ,33183
Jhapa,Literate Population by age 15 - 24 ,Male ,67750
Jhapa,Literate Population by age 15 - 24 ,Female ,81028
Jhapa,Total Population by age 15 - 24 ,Male ,71379
Jhapa,Total Population by age 15 - 24 ,Female ,89136
Morang,Literate Population by age 15 - 24 ,Male ,83084
Morang,Literate Population by age 15 - 24 ,Female ,86841
Morang,Total Population by age 15 - 24 ,Male ,90531
Morang,Total Population by age 15 - 24 ,Female ,101759
sunsari,Literate Population by age 15 - 24 ,Male ,66394
sunsari,Literate Population by age 15 - 24 ,Female ,66830
sunsari,Total Population by age 15 - 24 ,Male ,73708
sunsari,Total Population by age 15 - 24 ,Female ,81480
Dhankuta,Literate Population by age 15 - 24 ,Male ,14624
Dhankuta,Literate Population by age 15 - 24 ,Female ,17619
Dhankuta,Total Population by age 15 - 24 ,Male ,15061
Dhankuta,Total Population by age 15 - 24 ,Female ,18408
Terhathum,Literate Population by age 15 - 24 ,Male ,9004
Terhathum,Literate Population by age 15 - 24 ,Female ,11090
Terhathum,Total Population by age 15 - 24 ,Male ,9298
Terhathum,Total Population by age 15 - 24 ,Female ,11613
Sankhuwasabha,Literate Population by age 15 - 24 ,Male ,13167
Sankhuwasabha,Literate Population by age 15 - 24 ,Female ,15336
Sankhuwasabha,Total Population by age 15 - 24 ,Male ,13963
Sankhuwasabha,Total Population by age 15 - 24 ,Female ,17009
Bhojpur,Literate Population by age 15 - 24 ,Male ,15475
Bhojpur,Literate Population by age 15 - 24 ,Female ,18850
Bhojpur,Total Population by age 15 - 24 ,Male ,16140
Bhojpur,Total Population by age 15 - 24 ,Female ,20460
Solukhumbu,Literate Population by age 15 - 24 ,Male ,9219
Solukhumbu,Literate Population by age 15 - 24 ,Female ,9941
Solukhumbu,Total Population by age 15 - 24 ,Male ,9935
Solukhumbu,Total Population by age 15 - 24 ,Female ,11492
Okhaldhunga,Literate Population by age 15 - 24 ,Male ,11709
Okhaldhunga,Literate Population by age 15 - 24 ,Female ,14143
Okhaldhunga,Total Population by age 15 - 24 ,Male ,12441
Okhaldhunga,Total Population by age 15 - 24 ,Female ,16468
Khotang,Literate Population by age 15 - 24 ,Male ,17600
Khotang,Literate Population by age 15 - 24 ,Female ,20846
Khotang,Total Population by age 15 - 24 ,Male ,18520
Khotang,Total Population by age 15 - 24 ,Female ,22874
Udaypur,Literate Population by age 15 - 24 ,Male ,26141
Udaypur,Literate Population by age 15 - 24 ,Female ,32273
Udaypur,Total Population by age 15 - 24 ,Male ,27785
Udaypur,Total Population by age 15 - 24 ,Female ,36249
Saptari,Literate Population by age 15 - 24 ,Male ,42813
Saptari,Literate Population by age 15 - 24 ,Female ,33381
Saptari,Total Population by age 15 - 24 ,Male ,52468
Saptari,Total Population by age 15 - 24 ,Female ,57927
Siraha,Literate Population by age 15 - 24 ,Male ,40277
Siraha,Literate Population by age 15 - 24 ,Female ,30151
Siraha,Total Population by age 15 - 24 ,Male ,52026
Siraha,Total Population by age 15 - 24 ,Female ,56171
Dhanusa,Literate Population by age 15 - 24 ,Male ,52170
Dhanusa,Literate Population by age 15 - 24 ,Female ,35374
Dhanusa,Total Population by age 15 - 24 ,Male ,70397
Dhanusa,Total Population by age 15 - 24 ,Female ,65553
Mahottari,Literate Population by age 15 - 24 ,Male ,36146
Mahottari,Literate Population by age 15 - 24 ,Female ,23931
Mahottari,Total Population by age 15 - 24 ,Male ,52080
Mahottari,Total Population by age 15 - 24 ,Female ,50593
Sarlahi,Literate Population by age 15 - 24 ,Male ,46767
Sarlahi,Literate Population by age 15 - 24 ,Female ,32613
Sarlahi,Total Population by age 15 - 24 ,Male ,66892
Sarlahi,Total Population by age 15 - 24 ,Female ,65075
Sindhuli,Literate Population by age 15 - 24 ,Male ,22606
Sindhuli,Literate Population by age 15 - 24 ,Female ,24071
Sindhuli,Total Population by age 15 - 24 ,Male ,25321
Sindhuli,Total Population by age 15 - 24 ,Female ,31724
Ramechhap,Literate Population by age 15 - 24 ,Male ,16293
Ramechhap,Literate Population by age 15 - 24 ,Female ,19801
Ramechhap,Total Population by age 15 - 24 ,Male ,17305
Ramechhap,Total Population by age 15 - 24 ,Female ,22963
Dolkha,Literate Population by age 15 - 24 ,Male ,15062
Dolkha,Literate Population by age 15 - 24 ,Female ,17468
Dolkha,Total Population by age 15 - 24 ,Male ,15807
Dolkha,Total Population by age 15 - 24 ,Female ,19937
Sindhupalanchok,Literate Population by age 15 - 24 ,Male ,22847
Sindhupalanchok,Literate Population by age 15 - 24 ,Female ,24035
Sindhupalanchok,Total Population by age 15 - 24 ,Male ,25185
Sindhupalanchok,Total Population by age 15 - 24 ,Female ,29388
Kavre,Literate Population by age 15 - 24 ,Male ,35397
Kavre,Literate Population by age 15 - 24 ,Female ,39429
Kavre,Total Population by age 15 - 24 ,Male ,37065
Kavre,Total Population by age 15 - 24 ,Female ,43855
Lalitpur,Literate Population by age 15 - 24 ,Male ,52668
Lalitpur,Literate Population by age 15 - 24 ,Female ,47577
Lalitpur,Total Population by age 15 - 24 ,Male ,54704
Lalitpur,Total Population by age 15 - 24 ,Female ,50870
Bhaktapur,Literate Population by age 15 - 24 ,Male ,34689
Bhaktapur,Literate Population by age 15 - 24 ,Female ,32412
Bhaktapur,Total Population by age 15 - 24 ,Male ,35788
Bhaktapur,Total Population by age 15 - 24 ,Female ,34167
Kathmanduu,Literate Population by age 15 - 24 ,Male ,224913
Kathmanduu,Literate Population by age 15 - 24 ,Female ,192055
Kathmanduu,Total Population by age 15 - 24 ,Male ,232870
Kathmanduu,Total Population by age 15 - 24 ,Female ,203098
Nuwakot,Literate Population by age 15 - 24 ,Male ,22984
Nuwakot,Literate Population by age 15 - 24 ,Female ,25661
Nuwakot,Total Population by age 15 - 24 ,Male ,25598
Nuwakot,Total Population by age 15 - 24 ,Female ,31061
Rasuwa,Literate Population by age 15 - 24 ,Male ,3123
Rasuwa,Literate Population by age 15 - 24 ,Female ,3041
Rasuwa,Total Population by age 15 - 24 ,Male ,3611
Rasuwa,Total Population by age 15 - 24 ,Female ,4050
Dhading,Literate Population by age 15 - 24 ,Male ,26152
Dhading,Literate Population by age 15 - 24 ,Female ,32389
Dhading,Total Population by age 15 - 24 ,Male ,28200
Dhading,Total Population by age 15 - 24 ,Female ,37756
Makwanpur,Literate Population by age 15 - 24 ,Male ,37494
Makwanpur,Literate Population by age 15 - 24 ,Female ,40662
Makwanpur,Total Population by age 15 - 24 ,Male ,40611
Makwanpur,Total Population by age 15 - 24 ,Female ,46554
Rautahat,Literate Population by age 15 - 24 ,Male ,38270
Rautahat,Literate Population by age 15 - 24 ,Female ,23561
Rautahat,Total Population by age 15 - 24 ,Male ,59294
Rautahat,Total Population by age 15 - 24 ,Female ,56167
