Timestamp,YourBackground,IndustryYourWorkFor,PreferredProgrammingLanguage,CloudComputingExperiece,BigDataExperience,ApacheSparkExperience,MathsandStatisticsbackground,interestinopen-sourcesoftware,interestnorganizingthismeetup
12/2/15 4:47,Developer,IT / Systems,Java,> 3 Years,> 3 Years,> 3 Years,No,Yes,Yes
12/4/15 0:52,Data Scientist,Telecom,C / C++,Heard About It,1 -2 Years,Heard About It,Yes,Yes,Yes
12/7/15 1:26,Administrator / Dev Operations,IT / Systems,Python,Beginner,Beginner,Beginner,Yes,Yes,No
12/7/15 1:33,Developer,"Science & Tech, Academia / University, Healthcare / Medical",Python,Heard About It,Heard About It,Heard About It,Yes,Yes,No
12/7/15 1:46,Developer,IT / Systems,Java,1 -2 Years,1 -2 Years,Beginner,No,Yes,Yes
12/7/15 1:57,Developer,IT / Systems,Java,1 -2 Years,1 -2 Years,Beginner,No,Yes,No
12/7/15 5:12,Student,Science & Tech,Python,Beginner,Heard About It,Heard About It,Yes,Yes,Yes
12/7/15 6:26,Developer,IT / Systems,Scala,1 -2 Years,1 -2 Years,1 - 2 Years,Yes,Yes,Yes
12/7/15 6:33,Developer,IT / Systems,Java,Beginner,Beginner,Beginner,Yes,Yes,No
12/7/15 22:36,Developer,"IT / Systems, Science & Tech",C / C++,1 -2 Years,1 -2 Years,Beginner,Yes,Yes,Yes
12/8/15 16:48,Developer,IT / Systems,Scala,1 -2 Years,1 -2 Years,1 - 2 Years,Yes,Yes,Yes
12/12/15 8:15,Student,IT / Systems,Python,Beginner,Beginner,Beginner,Yes,Yes,Yes
12/13/15 20:18,Student,IT / Systems,Python,Beginner,Beginner,Beginner,Yes,Yes,Yes
12/13/15 21:38,Developer,IT / Systems,Scala,1 -2 Years,1 -2 Years,1 - 2 Years,Yes,Yes,Yes
12/17/15 2:31,Student,C / C++,Beginner,Heard About It,Heard About It,Yes,Yes,No
12/17/15 21:50,Developer,IT / Systems,Python,1 -2 Years,1 -2 Years,Heard About It,Yes,Yes,Yes
